PlaceName,Etymology,Derivation,ReferenceTitle
Bellister,"Probably, 'beautiful site'.","bel Old French - Fair, beautiful.; estre Old French - To stop, to stay, to stand (a site or sojourn).",A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Belsay,"Uncertain. Perhaps, ' beacon/funeral pyre hill-spur'. *Bel may also represent be an element meaning 'island' or 'glade'. Other suggestions include 'spur of the bill-shaped hill' and 'Bill's hill-spur'.","bēl Old English; bill Old English - A bill, a sword; topographically a sharp ridge, a headland, the edge of a hill, a promontory.; hōh Old English - A heel; a sharply projecting piece of ground.; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.
Benridge,'Bean ridge'.,bēan Old English - A bean.; hrycg Old English - A ridge.,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.
Benwell,"'By the Roman wall', Hadrian's wall.","bī Old English - By, near; (place) near or in.; wall Old English",Mawer; Place-names of Northumberland and Durham.; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Berwick Hill,'Barley farm/settlement'.,"bere Old English - Barley.; wīc Old English - A dwelling; a building or collection of buildings for special purposes; a farm, a dairy farm; a trading or industrial settlement; or (in the plural) a hamlet, village.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Cambridge Dictionary of English Place-names
Berwick upon Tweed,'Barley farm/settlement' on the River Tweed.,"bere-tūn Old English - A barley enclosure, a barley farm; later a demesne farm, an outlying grange.; River-name Unknown - River-name",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.
Bickerton,"Probably, 'bee-keepers' farm/settlement' but perhaps, 'disputed farm/settlement' or 'farm/settlment by the marsh'.","bī Old English - By, near; (place) near or in.; bīcere Old English - A bee-keeper.; biker Middle English - A fight, quarrel, dispute.; kjarr Old Norse - Brushwood; a marsh overgrown with brushwood.; tūn Old English - An enclosure; a farmstead; a village; an estate.",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; The Vocabulary of English Place-Names; Mawer; Place-names of Northumberland and Durham.
Biddlestone,"'Building valley' or perhaps, '*Byttel's valley'.","bytle Old English - A building, a house.; denu Old English - A valley.; Personal name (Old English) Old English - Personal name",Mawer; Place-names of Northumberland and Durham.; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Bigges Quarter,"Sometimes known as Carlisle's Quarter. Originally a township in Long Horsley ancient parish, it was made a separate civil parish in 1866.",Obscure element Unknown - Obscure element,Mawer; Place-names of Northumberland and Durham.; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Bingfield,"'Open land connected with Bynna' or perhaps, 'hollow open land'.","-ing Old English - Place-name forming suffix.; bing Old English - A hollow.; feld Old English - Open country, unencumbered ground (eg. land without trees as opposed to forest, level ground as opposed to hills, land without buildings); arable land (from late tenth century).; Personal name (Old English) Old English - Personal name",Mawer; Place-names of Northumberland and Durham.; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
