PlaceName,Etymology,Derivation,ReferenceTitle
Droitwich,"Originally, called Saltwich, a settlement specialising in salt production. It later became the 'dirty wich' -- its low-lying, muddy character is attested to in historical documents.","drit Old English - Dirt.; wīc Old English - A dwelling; a building or collection of buildings for special purposes; a farm, a dairy farm; a trading or industrial settlement; or (in the plural) a hamlet, village.",Gover et al.; Place-names of Worcestershire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Dudley,'Dud(d)a's wood/clearing'.,"lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; Gover et al.; Place-names of Worcestershire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Earls Croome,"Uncertain. Perhaps a lost river name, '*Crombe (= the winding one)' or as the name of a district, 'at the bends'. It was held by the Earl's of Warwick.","crumb Old English - Crooked, twisted, bent.; crumm C; eorl Old English - A hero, a nobleman; (later) a high-ranking officer of state.; River-name Unknown - River-name",Gover et al.; Place-names of Worcestershire; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Eastham,'East hemmed-in land' or 'east homestead/village'.,"ēast Old English - Eastern, east.; hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.",Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Worcestershire; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Eckington,'Farm/settlement connected with Ecca/Ecci'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; Gover et al.; Place-names of Worcestershire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Eldersfield,"'Elder-tree open land' or perhaps, 'Ealdhere's open land'.","feld Old English - Open country, unencumbered ground (eg. land without trees as opposed to forest, level ground as opposed to hills, land without buildings); arable land (from late tenth century).; hyldre Old English - An elder-tree.; Personal name (Old English) Old English - Personal name",Gover et al.; Place-names of Worcestershire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Elmbridge,"'Elm-tree ridge'. An early intrusive 'b' caused later confusion with ME brugge, 'bridge'.",elm Old English - An elm-tree.; elmen Old English - Near or growing with elm-trees; made of elm.; hrycg Old English - A ridge.,Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Worcestershire; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Elmley Castle,"'Elm-tree wood/clearing'. The castle stood on the slopes of Bredon Hill, a half mile away.","elm Old English - An elm-tree.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",Gover et al.; Place-names of Worcestershire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Elmley Lovett,'Elm-tree wood/clearing'. The Lovett family held land here in the 13th century.,"elm Old English - An elm-tree.; Family name Unknown - Family name.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",E. Ekwall; Dictionary of English Place-Names; Gover et al.; Place-names of Worcestershire; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Evesham,"The specific was orginally OE aet, 'at the hemmed-in land', later becoming OE cranuc, 'crane hemmed-in land' before the final 'Eof's hemmed-in land'.",æt Old English - At: the common preposition of location in place-names.; cranuc Old English - A crane (the bird).; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; Personal name (Old English) Old English - Personal name,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Worcestershire
Feckenham,'*Fecca's hemmed-in land' or '*Fecca's homestead/village'.,"hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Gover et al.; Place-names of Worcestershire; E. Ekwall; Dictionary of English Place-Names
Fladbury,'*Flaede's fortification'.,burh Old English - A fortified place.; Personal name (Old English) Old English - Personal name,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Gover et al.; Place-names of Worcestershire; A.D. Mills; Dictionary of English Place-Names
Flyford Flavell,"Possibly, '*Flaede's woodland' or another unknown specific, with a later confusion of OE fyhrth with ford. Flavell is an Anglo-Norman form of the name appended to distinguish from Grafton Flyford.","fyrhð Old English - A wood; land overgrown with brushwood, scrub on the edge of forest.  (Uncertain); Obscure element Unknown - Obscure element; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Worcestershire
Frankley,'Franca's wood/clearing'.,"lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Gover et al.; Place-names of Worcestershire
Grafton Flyford,'Grove farm/settlement under Flyford'.,"grāf Old English - A grove, a copse.; juxta Latin - Near.; Place-name Unknown - Place-name; tūn Old English - An enclosure; a farmstead; a village; an estate.",Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Worcestershire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Grafton Manor,'Grove farm/settlement'.,"grāf Old English - A grove, a copse.; tūn Old English - An enclosure; a farmstead; a village; an estate.",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Gover et al.; Place-names of Worcestershire
