PlaceName,Etymology,Derivation,ReferenceTitle
Halesworth,'*Haele's enclosure' or 'nook enclosure'.,"halh Old English - A nook of land; a small valley; dry ground in marsh; a piece of land projecting from, or detached from, the main area of its administrative unit.; Personal name (Old English) Old English - Personal name; worð Old English - An enclosure.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Hardwick,'Herd farm'.,heorde-wīc Old English - A herd farm.,A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Hargrave,Probably 'grey grove'; less likely 'hares' grove'.,"grāf Old English - A grove, a copse.; hār Old English - Grey, hoar, especially grey through being overgrown with lichen.; hara Old English - A hare.",Cameron; Dictionary of Lincolnshire Place-names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Harkstead,'Hereca's place'.,"Personal name (Old English) Old English - Personal name; stede Old English - A place, a site, a locality; a religious house or foundation; a place of communal activity; a farm, a dairy-farm, an estate.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Harleston,'Herewulf's or Heoruwulf's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Hartest,'Wooded hill with harts'.,"heorot Old English - A hart, a stag, a grown male deer.; hyrst Old English - A wooded hill.",A.D. Mills; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Hasketon,'*Haseca's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Haughley,'Woodland clearing with haws' or 'with a hedge'.,"haga Old English - A hedge; an enclosure; later a messuage, property.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Haverhill,Probably 'oat hill'. Alternatively 'goat hill'.,"hæfer Old English - A he-goat.; hæfera Old English - Oats.; hafr Old Norse - A he-goat.; hafri Old Norse - Oats.; hyll Old English - A hill, a natural eminence or elevated piece of ground.",Cameron; Dictionary of Lincolnshire Place-names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Hawkedon,'Hawk hill' or '*Hafoca's hill'.,dūn Old English - A hill.; hafoc Old English; Personal name (Old English) Old English - Personal name,Cameron; Dictionary of Lincolnshire Place-names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Hawstead,'Place of shelter'.,"hald Old English; stede Old English - A place, a site, a locality; a religious house or foundation; a place of communal activity; a farm, a dairy-farm, an estate.",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Hazlewood,'Hazel wood'.,"hæsel Old English - A hazel-tree.; wudu Old English - A wood; or wood, timber.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
