Id,Element,Language,Meaning,Frequency
2516,pūca,Old English,"A goblin, a puck.",2
2517,quarriere,Old French,Quarry.,1
2518,scearp,Old English,"Sharp, pointed",3
2519,perhaps also steep.,Modern English,,3
2520,sceamol,Old English,"A shamble, a bench, a (market) stall.",3
2521,scenc,Old English,"A drink, a draught.",2
2522,scīd,Old English,"A split piece of wood, a block, a beam",1
2523,"a paling, a sleeper",Modern English,,1
2524,perhaps also a footbridge.,Modern English,,1
2525,sīpe,Old English,Marsh or stream.,1
2526,stǣnen,Old English,"Made of stone, stony.",1
2527,swelgend Old English,Modern English,,1
2528,Personal,name (Old Norse) Old Norse,Personal name,1
2529,coccel,Old English,Tares.,1
2530,fithelare,Middle English,A fiddler.,1
2531,blanche,Old French,White.,1
2532,faloise,Old French,Cliff.,1
2533,ēaren,Old English,Gravelly.,1
2534,alh Old English,Modern English,,2
2535,æscet,Old English,A clump of ash-trees.,2
2536,Personal,name (Uncertain) Unknown,Personal name,1
2537,denn Old English,Modern English,,19
2538,bircen,Old English,"Growing with birch-trees, birchen",2
2539,"used substantively to mean a place overgrown with birches, a birch copse.",Modern English,,2
2540,blēa,Old English,"Course, rough ground.",1
2541,Personal,name (Uncertain) Unknown,Personal name,1
2542,borg,Old English,"A pledge, security.",1
2543,burh-ware,Old English,Town dwellers.,1
2544,Cantware,Old English,The dwellers of Kent.,2
2545,capel Old French,Modern English,,5
2546,fyrhðen,Old English,Wooded.,2
2547,loca,Old English,An enclosure.,6
2548,cerring Old English,Modern English,,2
2549,cev˜n C,Modern English,,3
2550,cistelet,Old English,A chestnut copse.,1
2551,lǣt,Old English,A junction of roads.,2
2552,ryde,Old English,A clearing.,1
2553,ēastor,Old English,Eastern.,3
2554,fæfer,Old English,A smith.,1
2555,Personal,name (Uncertain) Unknown,Personal name,1
2556,grēon,Old English,"Gravelly, sandy ground.",1
2557,hlēp Old English,Modern English,,4
2558,borg,Old English,"A pledge, security.",1
2559,sell,Old English,"A shed, a shelter for animals, a herdsman's hut.",6
2560,hālga,Old English,A saint.,2
2561,Personal,name (Uncertain) Unknown,Personal name,1
2562,geoc,Old English,"A yoke, a wooden device for coupling two oxen together for drawing a plough",3
2563,a pair of oxen yoked together,Modern English,,3
2564,"a measure of land, a small estate or manor",Modern English,,3
2565,something resembling a yoke.,Modern English,,3
2566,harað,Old English,A wood.,2
2567,lemo- C,Modern English,,1
2568,mægð,Old English,A maiden.,1
2569,mǣgð,Old English,"Folk, people.",1
2570,māl,Old English,"A law-suit, bargaining",1
2571,"tax, rent",Modern English,,1
2572,"perhaps also speech, council.",Modern English,,1
2573,horh,Old English,"Phlegm, mucus",1
2574,slutch.,Modern English,,1
2575,Personal,name (Uncertain) Unknown,Personal name,1
2576,Personal,name (Uncertain) Unknown,Personal name,1
2577,rivere,Middle English,A river.,1
2578,duro- C,Modern English,,1
2579,syle Old English,Modern English,,3
2580,sceld Old English,Modern English,,4
2581,scofl,Old English,A shovel,1
2582,"perhaps something resembling the hollow blade of a shovel, or something the width of a shovel, eg. a narrow strip.",Modern English,,1
2583,scoren,Old English,"A steep, precipitous place.",3
2584,sīde,Old English,A side,1
2585,sneare,Old English,"A snare, a trap.",1
2586,snafa,Old English,A spit or strip of land.,1
2587,borg,Old English,"A pledge, security.",1
2588,speld,Old English,"A chip, a splinter. (Only recorded in OE meaning an ember, a torch.",1
2589,wið-ūtan,Old English,Outside (the city walls).,1
2590,stūt,Old English,A gnat.,4
2591,sundor,Old English,"Asunder, apart",1
2592,"alluding to land or property detached or separated from an estate, or to land or property of a special kind, e.g. private or privileged.",Modern English,,1
2593,Personal,name (Uncertain) Unknown,Personal name,1
2594,swalwe Old English,Modern English,,4
2595,tær,Old English,"Gaping, cleft, torn.",1
2596,īfede,Old English,Overgrown with ivy.,1
2597,scearu,Old English,"A share, a division.",3
2598,wester,Old English,"West, western.",2
2599,wita,Old English,A councillor.,2
2600,Personal,name (Uncertain) Unknown,Personal name,1
2601,æcern,Old English,"An acorn, perhaps other fruit of similar form, mast.",1
2602,einn,Old Norse,One.,1
2603,tré,Old Norse,A tree,2
2604,kjarr,Old Norse,Brushwood,10
2605,a marsh overgrown with brushwood.,Modern English,,10
2606,Personal,name (Old Norse) Old Norse,Personal name,1
2607,angr,Old Norse,A bay.,1
2608,Personal,name (Old Norse) Old Norse,Personal name,1
2609,cā,Old English,A jackdaw.,5
2610,maguïr C,Modern English,,2
2611,Personal,name (Old Norse) Old Norse,Personal name,1
2612,barr C,Modern English,,2
2613,ey,Old Norse,An island (used of coastal islands in the west of Britain and round Scotland).,3
2614,staðr,Old Norse,"A place, a site.",4
2615,bill,Old English,"A bill, a sword",11
2616,"topographically a sharp ridge, a headland, the edge of a hill, a promontory.",Modern English,,11
2617,brekka Old Norse,Modern English,,4
2618,blár,Old Norse,"Dark, blue, livid",2
2619,"cheerless, cold, exposed.",Modern English,,2
2620,blesi,Old Norse,"A white spot (on a horse's forehead), a blaze",2
2621,a bare spot on a hillside.,Modern English,,2
2622,bere-wīc,Old English,A barley farm,10
2623,"a grange, an outlying or demesne farm.",Modern English,,10
2624,bróðir,Old Norse,A brother,1
2625,"(later) a religious brother, monk.",Modern English,,3
2626,brōðor,Old English,A brother,2
2627,Personal,name (Old Norse) Old Norse,Personal name,1
2628,bulki,Old Norse,"A heap, a cargo",1
2629,a lump,Modern English,,1
2630,topographically perhaps a hill.,Modern English,,1
2631,ball Old English,Modern English,,2
2632,kartr,Old Norse,Rough stony ground.,1
2633,Personal,name (Old Norse) Old Norse,Personal name,1
2634,hali,Old Norse,A tail,1
2635,"a long, narrow piece of land.",Modern English,,1
2636,kattar,Old Norse,Cat.,1
2637,Personal,name (Uncertain) Unknown,Personal name,1
2638,kleif,Old Norse,"A cliff, hill-side, pass, with a steep or difficult path.",1
2639,hlenc,Old English,An extensive hill-slope.,4
2640,krókr,Old Norse,"A crook, a bend",2
2641,"usually denoting land in the bend of a river, but sometimes a nook, a secluded corner of land.",Modern English,,2
2642,Personal,name (Old Norse) Old Norse,Personal name,1
2643,stǫð,Old Norse,"A landing-place, a jetty.",3
2644,kofri,Old Norse,"A hood, a cap",1
2645,used of a hill.,Modern English,,1
2646,kerden C,Modern English,,1
2647,dǣl,Old English,"A share of land, a district.",4
2648,lēfer,Old English,"A rush, a reed, a yellow iris, levers.",6
2649,dile,Old English,Dill.,3
2650,Personal,name (Uncertain) Unknown,Personal name,1
2651,doun,Middle English,"A hill, an expanse of open hill-country.",1
2652,fēgels,Old English,"Possibly a hurdle, a fence.",1
2653,fæs,Old English,The fringe of a garment,1
2654,perhaps used figuratively of the border or edge of something.,Modern English,,1
2655,Personal,name (Old Norse) Old Norse,Personal name,1
2656,Personal,name (Old Norse) Old Norse,Personal name,1
2657,fola,Old English,A foal.,2
2658,wæl,Old English,A corpse.,1
2659,geirr,Old Norse,A spear.,1
2660,stǫng,Old Norse,"A pole, a stave",3
2661,also used as a standard of measure.,Modern English,,3
2662,bōth Old Norse,Modern English,,3
2663,Personal,name (Uncertain) Unknown,Personal name,1
2664,mercels Old English,Modern English,,3
2665,þistel,Old English,A thistle.,2
2666,gærsing,Old English,"Grazing, pasture.",2
2667,Personal,name (Old Norse) Old Norse,Personal name,1
2668,hēap,Old English,A heap,4
2669,hord-ærn,Old English,A store-house.,1
2670,Personal,name (Old Norse) Old Norse,Personal name,1
2671,við,Old Norse,"Against, near, beside.",1
2672,-ǭg C,Modern English,,1
2673,haidd C,Modern English,,1
2674,Personal,name (Uncertain) Unknown,Personal name,1
2675,heschen C,Modern English,,1
2676,hind,Old English,"A hind, the female of the deer.",4
2677,Personal,name (Old Norse) Old Norse,Personal name,1
2678,eithin C,Modern English,,1
2679,cȳpe,Old English,An osier-basket (especially for catching fish).,1
2680,Personal,name (Uncertain) Unknown,Personal name,1
2681,hlaða,Old Norse,"A store-house, a barn.",3
2682,varða,Old Norse,"A cairn, a heap of stones.",3
2683,leið-gríma,Old Norse,A mark on a tree to indicate a track.,1
2684,lœ́kr,Old Norse,A brook.,5
2685,lǣge,Old English,"Fallow, unploughed, lying untilled.",2
2686,hlíð,Old Norse,"A slope, a hill-side.",11
2687,land,Old Norse,Land (as part of earth's surface),1
2688,leira,Old Norse,A clayey place.,1
2689,lifer,Old English,A liver,4
2690,"probably used of thick, clotted water.",Modern English,,4
2691,Personal,name (Old Norse) Old Norse,Personal name,1
2692,holr,Old Norse,Hollow,4
2693,"lying in a hollow, deep, running in a deep hollow.",Modern English,,4
2694,vík,Old Norse,"A small creek, an inlet, a bay.",2
2695,hlid-geat,Old English,"A swing-gate, esp. one to prevent cattle strying from pasture across a road or on to arable land.",2
2696,mages C,Modern English,,1
2697,manslaga,Old English,Homicide.,1
2698,manslagari,Old Norse,Homicide.,1
2699,Personal,name (Uncertain) Unknown,Personal name,1
2700,sīde,Old English,A side,1
2701,mýrr,Old Norse,A swamp.,3
2702,Personal,name (Old Norse) Old Norse,Personal name,1
2703,launde,Middle English,"An open space in woodland, a forest glade, woodland pasture.",4
2704,open,Old English,"Open, unenclosed.",1
2705,Personal,name (Old Norse) Old Norse,Personal name,1
2706,Personal,name (Old Norse) Old Norse,Personal name,1
2707,klif,Old Norse,"A cliff, a steep hill.",4
2708,pearr,Old English,An enclosure.,1
2709,Personal,name (Old Norse) Old Norse,Personal name,1
2710,Personal,name (Old Norse) Old Norse,Personal name,1
2711,pres C,Modern English,,3
2712,raun,Old Norse,"A rowan-tree, a mountain ash.",2
2713,rein,Old Norse,A boundary strip,2
2714,later a ploughland strip.,Modern English,,2
2715,fylja,Old Norse,Filly.,1
2716,skarð,Old Norse,"An opening, an open place in the edge of something, a gap, a mountain pass.",3
2717,scot,Middle English,"A tax, a payment.",1
2718,sef,Old Norse,"Sedge, a rush.",1
2719,Personal,name (Old Norse) Old Norse,Personal name,1
2720,sker,Old Norse,"A rock, a scar, a reef, a skerry.",2
2721,hǣst,Old English,"Undergrowth, brushwood.",1
2722,slinu,Old English,A slope.,4
2723,spēc Old English,Modern English,,3
2724,splott,Old English,"A plot of land, a small patch of ground.",1
2725,mynni,Old Norse,The mouth of a river where it joins another or runs into a lake or the sea.,2
2726,stæg,Old English,A pond.,1
2727,Personal,name (Old Norse) Old Norse,Personal name,1
2728,Personal,name (Old Norse) Old Norse,Personal name,1
2729,Personal,name (Old Norse) Old Norse,Personal name,1
2730,torf,Old Norse,Turf (in allusion to a turf-roofed building).,1
2731,Personal,name (Old Norse) Old Norse,Personal name,1
2732,akr,Old Norse,A plot of arable land. (Indistinguishable from OE æcer.),3
2733,hreysi,Old Norse,"A cairn, a heap of stones.",1
2734,hwerfel Old English,Modern English,,3
2735,Personal,name (Old Norse) Old Norse,Personal name,1
2736,scēacere,Old English,A robber.,2
2737,Personal,name (Old Norse) Old Norse,Personal name,1
2738,Personal,name (Old Norse) Old Norse,Personal name,1
2739,Personal,name (Old Norse) Old Norse,Personal name,1
2740,Personal,name (Old Norse) Old Norse,Personal name,1
2741,wering,Old English,A river-dam.,2
2742,vestr,Old Norse,"West, westerly.",3
2743,hwæl,Old English,A hill.,2
2744,hwēol,Old English,A wheel,4
2745,a water-wheel,Modern English,,4
2746,topographically something circular such as a stone circle or a curving valley or hill.,Modern English,,4
2747,Personal,name (Uncertain) Unknown,Personal name,1
2748,wlïb C,Modern English,,1
2749,Personal,name (Uncertain) Unknown,Personal name,1
2750,botn,Old Norse,"A bottom, a broad river-valley.",1
2751,wyrhta,Old English,A wright.,1
2752,weorod,Old English,"A host, an army, a throng.",1
2753,Personal,name (Old Norse) Old Norse,Personal name,1
2754,Personal,name (Uncertain) Unknown,Personal name,1
2755,Personal,name (Old Norse) Old Norse,Personal name,1
2756,Personal,name (Old Norse) Old Norse,Personal name,1
2757,Personal,name (Old Norse) Old Norse,Personal name,1
2758,Personal,name (Old Norse) Old Norse,Personal name,1
2759,Personal,name (Old Norse) Old Norse,Personal name,1
2760,barn,Old Norse,"Child, offspring.",9
2761,Personal,name (Old Norse) Old Norse,Personal name,1
2762,mont,Old French,"Hill, mountain.",1
2763,Personal,name (Old Norse) Old Norse,Personal name,1
2764,Personal,name (Old Norse) Old Norse,Personal name,1
2765,bytme,Old English,A bottom,3
2766,a broad river-valley.,Modern English,,3
2767,Personal,name (Old Norse) Old Norse,Personal name,1
2768,brigā C,Modern English,,1
2769,Personal,name (Old Norse) Old Norse,Personal name,1
2770,Personal,name (Old Norse) Old Norse,Personal name,1
2771,kati,Old Norse,Boy.,1
2772,Personal,name (Old Norse) Old Norse,Personal name,1
2773,castel,Middle English,"A large defensive building, a stronghold, a castle",1
2774,Personal,name (Old Norse) Old Norse,Personal name,1
2775,Personal,name (Old Norse) Old Norse,Personal name,1
2776,contasse,Middle English,A countess.,1
2777,cræft,Old English,"A machine, an engine (perhaps some kind of mill).",1
2778,Personal,name (Old Norse) Old Norse,Personal name,1
2779,Personal,name (Old Norse) Old Norse,Personal name,1
2780,herr,Old Norse,An army.,2
2781,Personal,name (Old Norse) Old Norse,Personal name,1
2782,fleca,Old English,Hurdle.,1
2783,Personal,name (Old Norse) Old Norse,Personal name,1
2784,Personal,name (Old Norse) Old Norse,Personal name,1
2785,Personal,name (Old Norse) Old Norse,Personal name,1
2786,Frīsa,Old English,"A Frisian, a native of Friesland and the Frisian Isles.",10
2787,gaddr,Old Norse,Spur of land.,1
2788,Personal,name (Old Norse) Old Norse,Personal name,1
2789,gall,Old Norse,A sore,1
2790,a wet or barren place.,Modern English,,1
2791,Personal,name (Old Norse) Old Norse,Personal name,1
2792,glenn,Old English,"A glen, a valley.",1
2793,Personal,name (Old Norse) Old Norse,Personal name,1
2794,Personal,name (Old Norse) Old Norse,Personal name,1
2795,gōp,Old English,"A slave, a servant.",1
2796,glïnn C,Modern English,,1
2797,Personal,name (Old Norse) Old Norse,Personal name,1
2798,hjǫrð,Old Norse,"A herd, a flock.",2
2799,Personal,name (Old Norse) Old Norse,Personal name,1
2800,heiðr,Old Norse,A heath,1
2801,uncultivated land.,Modern English,,1
2802,Personal,name (Old Norse) Old Norse,Personal name,1
2803,Personal,name (Old Norse) Old Norse,Personal name,1
2804,Personal,name (Old Norse) Old Norse,Personal name,1
2805,gnípa,Old Norse,A steep rock or peak.,1
2806,cross,Old English,Hill,1
2807,perhaps a rounded hill.,Modern English,,1
2808,loc,Old English,"A lock, a bolt",4
2809,a fold.,Modern English,,4
2810,Personal,name (Old Norse) Old Norse,Personal name,1
2811,Personal,name (Old Norse) Old Norse,Personal name,1
2812,hlūttor,Old English,"Clear, bright.",1
2813,market,Old English,"A market, a market-place.",8
2814,hæfera,Old English,Oats.,3
2815,hafr,Old Norse,A he-goat.,3
2816,sorel,Old French,Sorrel,1
2817,sorrel-coloured.,Modern English,,1
2818,must,Old English,"Must, new wine",1
2819,possibly used of a muddy stream.,Modern English,,1
2820,linden,Old English,Growing with lime-trees.,3
2821,Personal,name (Old Norse) Old Norse,Personal name,1
2822,Personal,name (Old Norse) Old Norse,Personal name,1
2823,Personal,name (Uncertain) Unknown,Personal name,1
2824,oddr,Old Norse,"A protruding piece of land, often higher than its surroundings.",1
2825,Personal,name (Old Norse) Old Norse,Personal name,1
2826,Personal,name (Old Norse) Old Norse,Personal name,1
2827,Personal,name (Old Norse) Old Norse,Personal name,1
2828,pottere,Old English,A pot-maker.,4
2829,Personal,name (Old Norse) Old Norse,Personal name,1
2830,Personal,name (Old Norse) Old Norse,Personal name,1
2831,molde,Old English,"Earth, soil.",1
2832,Personal,name (Old Norse) Old Norse,Personal name,1
2833,roð,Old English,A clearing.,4
2834,Personal,name (Old Norse) Old Norse,Personal name,1
2835,scēp-cot Old English,Modern English,,1
2836,Personal,name (Old Norse) Old Norse,Personal name,1
2837,Personal,name (Old Norse) Old Norse,Personal name,1
2838,Personal,name (Old Norse) Old Norse,Personal name,1
2839,skrap,Old Norse,"Scraps, scrapings.",1
2840,toft,Old Norse,Building plot.,1
2841,strēon,Old English,"Property, treasure.",4
2842,tjǫrn,Old Norse,"A tarn, a small lake.",2
2843,scanca,Old English,"A shank, a leg",1
2844,"figuratively, a long, narrow, bent field.",Modern English,,1
2845,scēað,Old English,A sheath,1
2846,"that which divides, a boundary.",Modern English,,1
2847,Personal,name (Old Norse) Old Norse,Personal name,1
2848,sceafa,Old English,"A plane, a scraper.",1
2849,Personal,name (Old Norse) Old Norse,Personal name,1
2850,Personal,name (Old Norse) Old Norse,Personal name,1
2851,Personal,name (Old Norse) Old Norse,Personal name,1
2852,slakki Old Norse,Modern English,,3
2853,Personal,name (Old Norse) Old Norse,Personal name,1
2854,Personal,name (Old Norse) Old Norse,Personal name,1
2855,sumarr,Old Norse,Summer.,2
2856,Personal,name (Old Norse) Old Norse,Personal name,1
2857,Personal,name (Old Norse) Old Norse,Personal name,1
2858,Personal,name (Uncertain) Unknown,Personal name,1
2859,stofn,Old English,"A stem, a shoot from a tree, a tree, a tree-stump.",2
2860,stofn,Old Norse,"A stem, a shoot from a tree, a tree-stump.",1
2861,Personal,name (Old Norse) Old Norse,Personal name,1
2862,sviðinn,Old Norse,Land cleared by burning.,1
2863,Personal,name (Old Norse) Old Norse,Personal name,1
2864,Personal,name (Uncertain) Unknown,Personal name,1
2865,Personal,name (Old Norse) Old Norse,Personal name,1
2866,Personal,name (Old Norse) Old Norse,Personal name,1
2867,Personal,name (Old Norse) Old Norse,Personal name,1
2868,Personal,name (Old Norse) Old Norse,Personal name,1
2869,Personal,name (Old Norse) Old Norse,Personal name,1
2870,Personal,name (Old Norse) Old Norse,Personal name,1
2871,þyrnir,Old Norse,A thorn-bush.,7
2872,Personal,name (Old Norse) Old Norse,Personal name,1
2873,Personal,name (Old Norse) Old Norse,Personal name,1
2874,Personal,name (Old Norse) Old Norse,Personal name,1
2875,ān-lipig,Old English,"Single, solitary, lonely.",1
2876,Personal,name (Old Norse) Old Norse,Personal name,1
2877,Personal,name (Old Norse) Old Norse,Personal name,1
2878,víkingr,Old Norse,"A roving pirate, a viking.",2
2879,wīcing,Old English,A pirate.,6
2880,Personal,name (Old Norse) Old Norse,Personal name,1
2881,Personal,name (Old Norse) Old Norse,Personal name,1
2882,Personal,name (Uncertain) Unknown,Personal name,1
2883,Personal,name (Old Norse) Old Norse,Personal name,1
2884,Personal,name (Old Norse) Old Norse,Personal name,1
2885,Personal,name (Old Norse) Old Norse,Personal name,1
2886,Personal,name (Old Norse) Old Norse,Personal name,1
2887,puer,Latin,"A boy, a youth.",1
2888,Personal,name (Old Norse) Old Norse,Personal name,1
2889,austr,Old Norse,East.,8
2890,Personal,name (Old Norse) Old Norse,Personal name,1
2891,Personal,name (Old Norse) Old Norse,Personal name,1
2892,áll,Old Norse,An eel.,1
2893,Personal,name (Old Norse) Old Norse,Personal name,1
2894,authn,Old Norse,"Waste land, deserted land.",2
2895,Personal,name (Old Norse) Old Norse,Personal name,1
2896,Personal,name (Old Norse) Old Norse,Personal name,1
2897,Personal,name (Old Norse) Old Norse,Personal name,1
2898,bagge,Middle English,A bag,3
2899,Personal,name (Old Norse) Old Norse,Personal name,1
2900,Personal,name (Old Norse) Old Norse,Personal name,1
2901,Beornede,Old English,Masculine personal name.,1
2902,Beornnōð,Old English,Masculine personal name.,1
2903,Personal,name (Old Norse) Old Norse,Personal name,1
2904,Personal,name (Old Norse) Old Norse,Personal name,1
2905,Personal,name (Old Norse) Old Norse,Personal name,1
2906,Personal,name (Old Norse) Old Norse,Personal name,1
2907,belt,Modern English,"A belt of woodland, a screen of trees, a plantation.",1
2908,ló,Old Norse,"A glade, a meadow.",1
2909,Personal,name (Old Norse) Old Norse,Personal name,1
2910,vedeir,Old French,A view.,1
2911,biker,Middle English,"A fight, quarrel, dispute.",2
2912,Bekki,Old Norse,Masculine personal name.,1
2913,Personal,name (Old Norse) Old Norse,Personal name,1
2914,Personal,name (Old Norse) Old Norse,Personal name,1
2915,bile,Old English,"A bill, beak",5
2916,"used topographically of a headland, a narrow promontory.",Modern English,,5
2917,Personal,name (Old Norse) Old Norse,Personal name,1
2918,biskup,Old Norse,A bishop.,1
2919,bóndi,Old Norse,A peasant landowner.,3
2920,Bōndi,Old Norse,Masculine personal name.,1
2921,Personal,name (Old Norse) Old Norse,Personal name,1
2922,Personal,name (Old Norse) Old Norse,Personal name,1
2923,bulut,Old English,"The ragged robin, the cuckoo flower.",2
2924,bræsen,Old English,"Mighty, strong.",1
2925,brēosa,Old English,A gadfly.,4
2926,bræsc,Old English,"Small branches, twigs, underwood.",2
2927,Personal,name (Old Norse) Old Norse,Personal name,1
2928,Brandr,Old Norse,Masculine personal name.,1
2929,Personal,name (Old Norse) Old Norse,Personal name,1
2930,Personal,name (Old Norse) Old Norse,Personal name,1
2931,brende,Middle English,Burnt,2
2932,cleared by burning,Modern English,,2
2933,consumed or destroyed by fire.,Modern English,,2
2934,Personal,name (Old Norse) Old Norse,Personal name,1
2935,Personal,name (Old Norse) Old Norse,Personal name,1
2936,brink Old Norse,Modern English,,2
2937,Bróklauss,Old Norse,Masculine personal name.,1
2938,Personal,name (Old Norse) Old Norse,Personal name,1
2939,Personal,name (Old Norse) Old Norse,Personal name,1
2940,Personal,name (Old Norse) Old Norse,Personal name,1
2941,Personal,name (Old Norse) Old Norse,Personal name,1
2942,Personal,name (Uncertain) Unknown,Personal name,1
2943,bayard,Old French,A bay horse.,1
2944,Cada,Old English,Masculine personal name.,1
2945,hús,Old Norse,A house,7
2946,Personal,name (Old Norse) Old Norse,Personal name,1
2947,þwang,Old English,A thong,3
2948,a narrow strip of land.,Modern English,,4
2949,Personal,name (Old Norse) Old Norse,Personal name,1
2950,Personal,name (Old Norse) Old Norse,Personal name,1
2951,castel,Middle English,"A large defensive building, a stronghold, a castle",1
2952,Personal,name (Old Norse) Old Norse,Personal name,1
2953,chiri,Middle English,A cherry,2
2954,a cherry-tree.,Modern English,,2
2955,Personal,name (Old Norse) Old Norse,Personal name,1
2956,Personal,name (Old Norse) Old Norse,Personal name,1
2957,Personal,name (Old Norse) Old Norse,Personal name,1
2958,Personal,name (Old Norse) Old Norse,Personal name,1
2959,Personal,name (Old Norse) Old Norse,Personal name,1
2960,Personal,name (Old Norse) Old Norse,Personal name,1
2961,Personal,name (Old Norse) Old Norse,Personal name,1
2962,colestre,Old English,A charcoal burner.,2
2963,Personal,name (Old Norse) Old Norse,Personal name,1
2964,Personal,name (Old Norse) Old Norse,Personal name,1
2965,crūw,Old English,A bend.,1
2966,Personal,name (Old Norse) Old Norse,Personal name,1
2967,Personal,name (Old Norse) Old Norse,Personal name,1
2968,Personal,name (Uncertain) Unknown,Personal name,1
2969,cuccu,Middle English,A cuckoo.,4
2970,dæld,Old Norse,A small valley.,1
2971,dēoping,Old English,A deep place.,4
2972,dembil,Old Norse,A pool.,1
2973,dík,Old Norse,A ditch.,3
2974,Personal,name (Old Norse) Old Norse,Personal name,1
2975,bearg,Old English,"A barrow pig, a castrated boar.",1
2976,Personal,name (Old Norse) Old Norse,Personal name,1
2977,kjǫlr,Old Norse,"A keel, a ridge (of hills).",5
2978,east,Modern English,East.,2
2979,ferrye,Middle English,A ferry.,2
2980,ville,Modern English,Town or village.,4
2981,Personal,name (Old Norse) Old Norse,Personal name,1
2982,fald,Old English,"A fold, a small enclosure for animals",7
2983,"a small herding settlement, a herdsmen's hamlet.",Modern English,,7
2984,falding,Old English,The act of folding animals.,2
2985,Personal,name (Old Norse) Old Norse,Personal name,1
2986,fiscere,Old English,A fisherman.,4
2987,Personal,name (Old Norse) Old Norse,Personal name,1
2988,Personal,name (Old Norse) Old Norse,Personal name,1
2989,Personal,name (Old Norse) Old Norse,Personal name,1
2990,Personal,name (Old Norse) Old Norse,Personal name,1
2991,Personal,name (Uncertain) Unknown,Personal name,1
2992,full-nautr,Old Norse,One who has a full share.,1
2993,Personal,name (Old Norse) Old Norse,Personal name,1
2994,bryggja,Old Norse,"A jetty, a quay.",1
2995,glēam,Old English,"Revelry, joy.",5
2996,glente,Old English,Probably a bird of prey,4
2997,possibly a look-out place.,Modern English,,4
2998,Personal,name (Uncertain) Unknown,Personal name,1
2999,Personal,name (Old Norse) Old Norse,Personal name,1
3000,gausli,Old Norse,Gush of water.,2
3001,grein,Old Norse,A branch (of a tree),1
3002,a fork (of a river).,Modern English,,1
3003,Personal,name (Old Norse) Old Norse,Personal name,1
3004,Personal,name (Old Norse) Old Norse,Personal name,1
3005,Personal,name (Uncertain) Unknown,Personal name,1
3006,lyng,Old Norse,"Ling, heather.",2
3007,grand,Old English,Gravel.,1
3008,gærs,Old English,Grass.,3
3009,grjót,Old Norse,Gravel.,2
3010,Personal,name (Uncertain) Unknown,Personal name,1
3011,pamp,Old English,Probably used of a hill.,1
3012,panne,Old English,A pan,3
3013,a pan-shaped thing,Modern English,,3
3014,perhaps used topographically of a hollow.,Modern English,,3
3015,Personal,name (Old Norse) Old Norse,Personal name,1
3016,Personal,name (Old Norse) Old Norse,Personal name,1
3017,Personal,name (Old Norse) Old Norse,Personal name,1
3018,Personal,name (Old Norse) Old Norse,Personal name,1
3019,Personal,name (Old Norse) Old Norse,Personal name,1
3020,Personal,name (Old Norse) Old Norse,Personal name,1
3021,Personal,name (Old Norse) Old Norse,Personal name,1
3022,Personal,name (Old Norse) Old Norse,Personal name,1
3023,haca-þorn,Old English,A thorn.,1
3024,Personal,name (Old Norse) Old Norse,Personal name,1
3025,Personal,name (Old Norse) Old Norse,Personal name,1
3026,Personal,name (Old Norse) Old Norse,Personal name,1
3027,Personal,name (Old Norse) Old Norse,Personal name,1
3028,Personal,name (Old Norse) Old Norse,Personal name,1
3029,Personal,name (Old Norse) Old Norse,Personal name,1
3030,hearpa,Old English,A harper.,2
3031,Personal,name (Old Norse) Old Norse,Personal name,1
3032,hafri,Old Norse,Oats.,4
3033,Personal,name (Old Norse) Old Norse,Personal name,1
3034,Personal,name (Old Norse) Old Norse,Personal name,1
3035,hēopa,Old English,"The dog rose, a bramble.",4
3036,Personal,name (Old Norse) Old Norse,Personal name,1
3037,hugol,Old English,"A mound, a small hill.",1
3038,Personal,name (Old Norse) Old Norse,Personal name,1
3039,Personal,name (Old Norse) Old Norse,Personal name,1
3040,Personal,name (Old Norse) Old Norse,Personal name,1
3041,Personal,name (Old Norse) Old Norse,Personal name,1
3042,kīs,Old Norse,"Sand, coarse gravel.",1
3043,Personal,name (Old Norse) Old Norse,Personal name,1
3044,Ketill,Old Norse,Masculine personal name.,1
3045,Personal,name (Old Norse) Old Norse,Personal name,1
3046,Kettleby,Modern English,,1
3047,Personal,name (Old Norse) Old Norse,Personal name,1
3048,Personal,name (Old Norse) Old Norse,Personal name,1
3049,Personal,name (Old Norse) Old Norse,Personal name,1
3050,Personal,name (Old Norse) Old Norse,Personal name,1
3051,cyrn,Old English,A churn.,1
3052,chevrele,Old French,A kid.,1
3053,cnēo,Old English,A knee,1
3054,used of the bend in a river or road.,Modern English,,1
3055,Personal,name (Old Norse) Old Norse,Personal name,1
3056,lindo- C,Modern English,,2
3057,Personal,name (Old Norse) Old Norse,Personal name,1
3058,Personal,name (Old Norse) Old Norse,Personal name,1
3059,Personal,name (Old Norse) Old Norse,Personal name,1
3060,luh,Old English,"A lough, a lake, a pool.",4
3061,Personal,name (Uncertain) Unknown,Personal name,1
3062,malt,Old Norse,Malt.,4
3063,Personal,name (Old Norse) Old Norse,Personal name,1
3064,maðr,Old Norse,A person,3
3065,Personal,name (Old Norse) Old Norse,Personal name,1
3066,Personal,name (Old Norse) Old Norse,Personal name,1
3067,Personal,name (Old Norse) Old Norse,Personal name,1
3068,malm Old English,Modern English,,1
3069,mare,Old English,A spectre.,1
3070,marr,Old Norse,"A fen, a marsh.",6
3071,mare,Old English,A spectre.,1
3072,Personal,name (Old Norse) Old Norse,Personal name,1
